,COMID,CatAreaSqKm,WsAreaSqKm,CatPctFull,WsPctFull,PctOw2006Cat,PctIce2006Cat,PctUrbOp2006Cat,PctUrbLo2006Cat,PctUrbMd2006Cat,PctUrbHi2006Cat,PctBl2006Cat,PctDecid2006Cat,PctConif2006Cat,PctMxFst2006Cat,PctShrb2006Cat,PctGrs2006Cat,PctHay2006Cat,PctCrop2006Cat,PctWdWet2006Cat,PctHbWet2006Cat,PctOw2006Ws,PctIce2006Ws,PctUrbOp2006Ws,PctUrbLo2006Ws,PctUrbMd2006Ws,PctUrbHi2006Ws,PctBl2006Ws,PctDecid2006Ws,PctConif2006Ws,PctMxFst2006Ws,PctShrb2006Ws,PctGrs2006Ws,PctHay2006Ws,PctCrop2006Ws,PctWdWet2006Ws,PctHbWet2006Ws,longitude,latitude,region_vpu,PctImp2006Cat,PctImp2006Ws
3497,7713544,4.2066,142.8534,100,100,0,0,15.85365854,13.05091998,5.477107403,1.668806162,1.026957638,42.53316217,4.407359863,4.87804878,1.497646555,0.406504065,4.086435601,1.561831408,3.551561831,0,2.851454708,0,6.404747804,4.494537757,4.23245089,0.724518982,0.051031337,61.28863576,5.278908307,5.173695551,0.665297431,0.09198241,6.177311846,0.386830135,1.917770246,0.260826834,-73.117,41.778,NE_01,10.39965768,5.247130275
3498,7713698,3.5289,2571.1794,100,100,3.723539913,0,11.45116042,1.963784749,0.357051773,0,0,55.36852844,8.339709258,0.841622035,6.273909717,0,7.064524356,0.459066565,3.825554705,0.331548074,1.738758486,0,5.145603609,1.705645277,0.835916,0.218456168,0.1991693,53.24379932,7.178180566,8.56326478,1.668121641,0.25706491,11.7244911,1.908454929,5.020991534,0.592082373,-73.489,41.653,NE_01,1.484570263,1.577237784
3499,7713716,10.3149,363.4173,100,100,0.636942675,0,10.7494983,9.920600297,7.739289765,3.254515313,0.043626211,51.74941105,3.44647064,4.109589041,3.193438618,0.043626211,1.51819213,0.24430678,2.835703691,0.514789285,1.94776088,0,6.95918989,4.325936052,2.615670745,0.518329755,0.086429567,60.58068782,4.405183793,5.183049899,1.108230126,0.107727398,9.25242139,0.447997385,2.243701662,0.217683638,-73.057,41.615,NE_01,11.76188814,4.023898147
3500,7713746,2.7396,342.8037,100,100,0,0,8.771353482,0.657030223,0.164257556,0,0.722733246,60.77529566,8.344283837,4.533508541,2.135348226,1.41261498,7.227332457,0,5.256241787,0,2.928381461,0,5.905332994,1.457889749,0.293783293,0.029667124,0.076399409,61.08723447,3.879042146,3.257082698,1.439511884,0.180890696,13.1913687,1.042550007,4.855694381,0.37517098,-73.329,41.549,NE_01,1.058804205,1.110931416
3501,7714492,4.4928,2907.0252,100,100,8.173076923,0,20.45272436,13.26121795,14.0224359,7.19150641,0,25.52083333,3.525641026,0.981570513,1.5625,0,4.547275641,0,0.761217949,0,2.522423954,0,5.58406924,1.830912921,0.860797492,0.21956466,0.188605176,54.28822908,6.64412197,7.672007797,1.633205656,0.246530371,11.27089301,1.738220226,4.74720343,0.553215019,-73.408,41.564,NE_01,22.05168269,1.666431375
3502,7716608,0.6183,195.6501,100,100,0,0,14.84716157,36.82678311,6.841339156,2.620087336,0,12.37263464,1.164483261,0,0,18.34061135,6.695778748,0,0.291120815,0,0.702887451,0,7.049114721,3.477636863,0.759008045,0.103501097,0.383644067,61.71287416,1.542856354,1.22453298,2.07830203,0.452184793,16.88355897,0.643086817,2.794529622,0.192282038,-73.224,41.481,NE_01,19.19359534,2.255362507
3503,7716834,3.5991,157.959,100,100,0,0,16.70417604,23.33083271,17.70442611,4.351087772,0,29.50737684,0.900225056,0.350087522,0.525131283,0,1.400350088,1.875468867,3.350837709,0,2.287618939,0,14.60942396,15.08119195,10.3948493,2.979887186,0.058116347,45.23730842,1.185117657,0.395419064,0.797675346,0.139023417,3.228875848,0.160104837,3.290410803,0.154976924,-73.395,41.456,NE_01,23.8112028,15.31386246
3504,7718060,2.6586,674.0073,100,100,0,0,5.48408937,13.98104265,10.76506432,0.947867299,0,57.98916723,4.197698037,1.624915369,1.015572106,0.236966825,2.877454299,0,0.440081246,0.440081246,1.870617722,0,9.502374826,8.838865692,6.980666233,1.180269116,0.093203738,53.3803714,2.983721393,3.378301689,1.194823854,0.193618081,7.166539591,0.453600428,2.565906927,0.21711931,-73.062,41.442,NE_01,12.19126608,9.01887576
3505,7731665,0.7695,53.649,100,100,0,0,10.29239766,0,0,0,0,79.41520468,0.935672515,0,3.50877193,0,1.637426901,0,4.210526316,0,1.184365039,0,11.94430465,0.778392887,0.332159034,0.092266398,0,73.53631941,1.818486831,0.600570374,1.330313706,0.046971985,2.756248952,0.046971985,4.552927361,0.979701392,-73.395,41.294,NE_01,0.50877193,1.267186714
3506,7732241,2.9358,29.3211,100,100,0,0,29.64438994,6.652360515,0.306560392,0,0,58.09319436,1.778050276,2.145922747,0.429184549,0,0.367872471,0,0.582464746,0,0.110500629,0,11.29255042,3.824549556,0.610822923,0.122778477,0.122778477,76.23008687,0.991436201,0.349918659,0.739740324,0.699837319,1.457994414,0.138125787,3.27204641,0.036833543,-73.38,41.178,NE_01,5.043531576,2.721262163
3507,7732387,0.8316,78.0633,100,100,0,0,41.77489177,5.194805195,6.493506494,5.952380952,0,38.63636364,0,0,0.541125541,0,0,0,1.406926407,0,0.819719382,0,15.00051881,4.658911422,2.967591685,0.973056481,0,65.62251404,1.594475253,0.481916598,0.811649008,0.515351004,1.871173778,0.054186795,4.564372759,0.064562989,-73.419,41.163,NE_01,13.74242424,5.446095669
3508,7732561,2.3094,54.5481,100,100,0,0,57.95011691,16.56274357,3.546375682,0.311769291,0,17.06936867,1.75370226,0.545596259,0.896336711,0,0,0,1.363990647,0,2.38083453,0,17.79603689,3.832764111,0.491676154,0.054447359,0.056097279,67.3711825,2.225742052,0.255737597,0.364632315,0.216139517,1.493177581,0.090745599,3.202494679,0.168291838,-73.443,41.151,NE_01,13.07326578,3.203666122
3509,7732571,2.1312,85.2399,100,100,0,0,25.76013514,29.43412162,26.77364865,12.58445946,0,5.067567568,0.380067568,0,0,0,0,0,0,0,0.750704776,0,16.7467348,5.849373357,3.953078312,1.487683585,0,61.6232539,1.609105595,0.539536062,0.750704776,0.471962074,1.713634108,0.049624648,4.395476766,0.05912724,-73.426,41.135,NE_01,40.59290541,7.095458817
3510,7733045,7.4925,94.1346,100,100,0,0,26.46246246,30.65465465,29.26126126,9.465465465,0,3.351351351,0.804804805,0,0,0,0,0,0,0,2.537430445,0,19.20569057,9.675507199,4.690517621,1.187448611,0.065969367,53.68472379,3.639788133,0.282999025,0.274394325,0.115685412,0.918790753,0,3.461957665,0.25909708,-73.549,41.066,NE_01,39.91795796,8.748886169
3511,7733285,12.8493,31.7538,100,100,0,0,14.40778875,19.74504448,48.40652798,15.36036983,0,1.491910065,0.329200812,0.070042726,0,0,0,0,0,0.18911536,0.722748144,0,25.5937872,28.28354402,31.36160082,7.706479225,0,5.524063262,0.396802902,0.124709484,0,0,0,0,0.121875177,0.164389774,-73.221,41.188,NE_01,52.78300763,38.55064906
3512,7733285,12.8493,31.7538,100,100,0,0,14.40778875,19.74504448,48.40652798,15.36036983,0,1.491910065,0.329200812,0.070042726,0,0,0,0,0,0.18911536,0.722748144,0,25.5937872,28.28354402,31.36160082,7.706479225,0,5.524063262,0.396802902,0.124709484,0,0,0,0,0.121875177,0.164389774,-73.219,41.179,NE_01,52.78300763,38.55064906
3513,7842825,15.7149,22.5657,100,100,0.080178684,0,5.016894794,1.385945822,0.704427009,0.131722124,0.011454098,3.688219461,8.183952809,0.939236012,18.17765306,2.353817078,53.75980757,3.482045702,1.884199072,0.20044671,0.135604036,0,5.962589239,1.802736011,0.542416145,0.091732142,0.007976708,2.696127308,5.759183185,0.654090057,17.11003869,1.930363339,59.21509193,2.640290352,1.312168468,0.13959239,-96.686,28.959,TX_12,1.30954699,1.361304989
3514,7872253,30.4281,1939.4613,100,100,0.100564938,0,2.540743589,0.100564938,0,0,0.186340915,0.278032477,3.244698157,0,79.81306753,12.2600491,0,0,1.47593836,0,0.086730269,0,1.204014744,0.120002394,0.029606159,0.006311031,0.056845682,9.017998967,28.70558438,0.008167216,55.41312425,5.055970954,0.008120812,0.021949394,0.265573745,0,-99.997,29.428,TX_12,0.205241208,0.197664733
3515,7879370,4.5477,239.0814,100,100,0,0,1.682169009,0,0,0,0,0,0,0,38.51177518,6.233920443,52.04828815,0,1.523847219,0,0.017316278,0,0.284589265,0.021080686,0.004893731,0,0.016186956,6.871927302,10.88591584,1.140239266,71.37845102,2.421643842,6.805297275,0,0.110673603,0.041784932,-111.158,41.721,GB_16,0.162477736,0.235719717
3516,7879462,10.4589,3546.7857,100,100,0,0,0.232338009,0.378624903,0.086051114,0,0,0,0.18070734,0,1.101454264,0.3011789,95.05206092,0,2.667584545,0,0.437288895,0,0.591950058,0.35388098,0.085361797,0.011139664,1.291059113,7.362607219,12.27106278,1.720913107,59.91532841,6.224052386,7.538913332,0.001471755,0.816240462,1.378730043,-111.139,41.669,GB_16,0.592547973,0.444203099
3517,7879484,2.7288,220.212,100,100,0,0,2.341688654,0,0,0,0,0,0,0,0.197889182,0.164907652,94.95382586,0,2.341688654,0,0,0,0.406653588,0.030243583,0,0,0,7.023459212,10.18554847,1.343387281,73.75102174,1.339300311,5.403792709,0.017165277,0.290583619,0.208844205,-111.184,41.654,GB_16,0.257585752,0.224288867
3518,7879720,2.1807,308.4417,100,100,0,0,4.209657449,3.136607511,0,0,0,0,0,0,13.20676847,4.209657449,75.23730912,0,0,0,0.167195292,0,0.83976972,0.03968335,0,0,0.047269873,22.54422797,13.09317125,0.941604199,57.18604197,2.487504122,2.359700391,0,0.186745177,0.107086688,-111.155,41.524,GB_16,1.8745357,0.160066878
3519,7879744,2.2941,2038.6755,100,100,0,0,0,0,0,0,0,0,4.511573166,0,92.07532366,2.079246763,0,0,0.431541781,0.902314633,0.553594724,0,0.748059218,0.553373992,0.145241359,0.018938767,2.215614991,7.693244952,17.32164339,2.657431259,52.47053786,6.537273833,6.120002914,0,1.093018482,1.872024263,-111.014,41.505,GB_16,0.44174186,0.558350606
3520,7879778,3.5118,865.8126,100,100,0,0,0.691952845,0.48692978,0,0,0,0,0,0,45.05381855,2.1271143,51.64018452,0,0,0,0.486375458,0,0.376501797,0.036797801,0,0,0.06569551,9.876675391,6.23182199,0.36600299,71.80955787,3.268351604,6.145856505,0.001663177,0.270162388,1.064537522,-111.124,41.502,GB_16,0.594566889,0.276438804
3521,7880886,8.2215,159.0714,100,100,0,0,0.689655172,0.339354132,0,0,0,0,0,0,95.54460865,1.09469075,0.8757526,0,0.120415982,1.335522715,0.002828918,0,0.036775938,0.017539294,0,0,0.066762473,0.948819209,0.591809716,0.487705521,83.04176615,14.3273398,0.096183223,0,0.122209272,0.260260487,-111.073,41.776,GB_16,0.189819376,0.337891664
3522,7881338,1.7541,663.7266,100,100,0,0,2.20625962,2.5141098,0,0,0,0,0,0,92.35505387,2.924576706,0,0,0,0,0.018848122,0,0.505238151,0.215329625,0.014780182,0,0.604767083,2.175669922,2.188144938,0.882471789,65.54237844,26.16756659,0.70334683,0,0.173565441,0.807892888,-110.989,41.811,GB_16,1.364802463,0.422184375
3523,7882578,0.2187,24.4683,100,100,0,0,0,0,0,0,0,0.411522634,0,0,11.93415638,2.469135802,21.81069959,0,23.86831276,39.50617284,0,0,0.062529886,0.382535771,0,0,0.121381543,0.1802332,0.132416228,0,71.86522971,4.881009306,6.514142789,0,8.110493986,7.750027587,-111.017,41.434,GB_16,0,0.573619745
3524,7883076,0.9981,1785.4884,100,100,0,0,0,0,0,0,0,0,0,0,0,0,65.0135257,0,34.9864743,0,0.251376598,0,0.83014261,0.596307431,0.165584946,0.021624335,2.525762699,8.648473997,19.68636145,3.005177743,50.50824749,4.958626446,6.042968411,0,0.9834284,1.775917446,-111.011,41.314,GB_16,0.428313796,0.573701179
3525,7884940,5.1579,1155.4839,100,100,0.471121968,0,11.18478451,38.42261385,27.41231897,5.112545804,0,0.314081312,0.122142733,0,6.438666899,1.395916943,6.613156517,0,1.797243064,0.715407433,0.366002503,0,0.935530127,0.627010034,0.183195975,0.025158291,3.887384324,10.55051481,29.41035353,4.493597877,34.91752676,3.789009955,8.042163115,0,1.326457253,1.446095441,-110.963,41.27,GB_16,36.03332752,0.536935564
3526,7885172,9.2583,210.1905,100,100,0,0,0.709633518,1.059589774,0,0,0.126373092,0.476329348,1.963643433,0.087489064,66.18061631,3.178769321,25.64401672,0,0.320793234,0.252746185,1.152240468,0,0.875206063,0.093772078,0,0,0.005566379,11.46716907,6.635980218,3.367659338,49.56432379,1.089297566,19.91393522,0,0.363099189,5.471750626,-110.854,41.159,GB_16,0.748323126,0.223627138
3527,7887898,1.4292,456.3333,100,100,0,0,5.982367758,0.377833753,0,0,0,30.6675063,2.392947103,1.952141058,50.69269521,0.629722922,0,0,3.274559194,4.0302267,0.330547869,0,0.677268128,0.201957648,0.000986121,0,9.725522989,12.82214118,53.90513907,6.641132698,13.50788996,1.641497563,0,0,0.527772135,0.018144632,-110.853,40.965,GB_16,0.709697733,0.116632514
3528,7897763,3.8133,603.9819,100,100,0,0,1.34529148,0.09440642,0,0,0,0,0,0,44.74864291,4.035874439,0,0,6.278026906,43.49775785,0.011920887,0,0.806597019,0.088363575,0,0,0,1.92164699,22.84682703,0.18760496,51.60224172,12.95293783,3.749864027,1.567447634,0.474898337,3.789649988,-111.072,42.213,GB_16,0.447250413,0.145069745
3529,7898927,5.8509,6290.5689,100,100,1.215197662,0,4.96846639,0.076911244,0,0,0,0.476849715,14.45931395,0,33.36409783,0.753730195,2.830333795,5.353022612,3.414859252,33.08721735,0.272293337,0,0.518790916,0.267529062,0.052321182,0.006395288,0.803917751,4.821145827,11.99658746,1.155830278,61.29965129,8.831578015,7.848964185,0.0762284,0.827295604,1.2214714,-111.053,42.211,GB_16,0.576834333,0.388487423
3530,7898929,3.7287,7182.3942,100,100,1.544774318,0,4.175718079,0.651701665,0,0,0,0,3.306782525,0,70.86652184,3.427468018,10.66859763,0,5.28602462,0.072411296,0.252053835,0,0.541323672,0.244811124,0.045949859,0.005601196,0.704096692,4.396951646,12.52941255,1.028853304,61.27678706,8.93608847,7.466595192,0.198573061,0.82064418,1.552258159,-111.168,42.197,GB_16,0.725319817,0.361905825
3531,7900233,0.7137,708.9759,100,100,0,0,6.809583859,2.648171501,0,0,0,0,0,0,4.161412358,2.269861286,70.9962169,0,13.1147541,0,0.133798624,0,0.174547541,0.003681366,0,0,0.06474127,0.865248029,36.86291734,0.183560541,48.07331251,10.61909157,0.958932455,0.409647211,0.449888353,1.200633195,-110.95,42.094,GB_16,1.559899117,0.099921168
3532,7900281,2.4885,725.1381,100,100,0,0,8.716094033,14.39421338,4.556962025,0.289330922,0,2.133815552,0,0.072332731,12.54972875,5.2079566,51.21157324,0,0.68716094,0.180831826,0.130816461,0,0.225763892,0.055975545,0.0156384,0.000992914,0.063298288,0.864331911,36.0658749,0.183192691,47.76737011,11.11964742,1.327154097,0.4855351,0.456368242,1.238040037,-110.952,42.085,GB_16,9.091139241,0.135747522
3533,7900331,0.981,159.3009,100,100,0,0,8.623853211,1.743119266,0,0,0,2.752293578,0,0,17.52293578,11.46788991,51.55963303,0,3.577981651,2.752293578,0.009604466,0,0.275704657,0.240111638,0,0,0.021468805,0.987000073,3.346308778,0.571748182,69.76570754,17.31063666,3.436138779,0.020903837,0.408472269,3.606194315,-110.931,42.04,GB_16,1.148623853,0.340574347
3534,7900637,0.6552,6212.3067,100,100,0.686813187,0,0,0,0,0,0,6.456043956,0.137362637,0,64.28571429,7.554945055,3.708791209,0,4.67032967,12.5,0.274434293,0,0.496163527,0.268784218,0.05298032,0.006475855,0.814045449,4.874580645,12.06346107,1.170391346,61.26408408,8.8943194,7.787817366,0.065700233,0.796443292,1.170318909,-110.973,42.126,GB_16,3.083791209,0.388592614
3535,7902389,2.9574,5130.3438,100,100,0,0,0,0,0,0,0,0.060864273,0,0,9.7991479,10.43822276,65.30736458,1.24771759,9.129640901,4.017041996,0.312452744,0,0.528841751,0.288506981,0.061259052,0.007701238,0.976022309,5.724388295,9.362758496,1.373276387,62.76500417,8.467748302,8.231448349,0.010244927,0.797893896,1.092453102,-110.985,41.938,GB_16,0.293365794,0.419362773
3536,7913954,1159.0371,6775.8426,100,100,37.92590418,0,3.95956264,6.046657178,3.748818739,1.695812843,8.143535699,6.812836276,2.435280113,0.041154852,5.969317117,3.171563706,7.453764854,2.622884116,0.695361693,9.277545991,7.120047328,0,2.312081452,2.63228222,1.505808296,0.569539499,1.872245379,34.14095688,11.49848434,0.476283201,27.90945439,0.805994224,5.193569579,1.280829634,0.437551486,2.244872099,-111.896,40.981,GB_16,6.321823175,2.573505382
