statePostalCode,state,county,stationId,placeName,totalArea,network,landUseCode,sampleTypeDescription,sampleMediumDescription,siteVisitPurposeDescription,resultDatetime,Ammonia_wf_00608,Ammonia_wf_00608_RemarkCode,Ammonia_wf_00608_RemarkName,Ammonia_wf_00608_ReportUnits,NO3+NO2_wf_00631,NO3+NO2_wf_00631_RemarkCode,NO3+NO2_wf_00631_RemarkName,NO3+NO2_wf_00631_ReportUnits,Phosphorus_wu_00665,Phosphorus_wu_00665_RemarkCode,Phosphorus_wu_00665_RemarkName,Phosphorus_wu_00665_ReportUnits,Phosphorus_wf_00666,Phosphorus_wf_00666_RemarkCode,Phosphorus_wf_00666_RemarkName,Phosphorus_wf_00666_ReportUnits,Orthophosphate__00671,Orthophosphate__00671_RemarkCode,Orthophosphate__00671_RemarkName,Orthophosphate__00671_ReportUnits,Totalnitrogen__62855,Totalnitrogen__62855_RemarkCode,Totalnitrogen__62855_RemarkName,Totalnitrogen__62855_ReportUnits
,MANITOBA,UNSPECIFIED,5102500,"RED RIVER OF THE NORTH AT EMERSON, MANITOBA",40200,MIXED,mx,REGULAR,SURFACE WATER,NULL VALUE (IN NWIS),2/2/98 9:40,0.102,--,,mg/l as N,0.573,--,,mg/l as N,0.045,--,,mg/l,0.03,--,,mg/l,0.029,--,,mg/l as P,,,,
,MANITOBA,UNSPECIFIED,5102500,"RED RIVER OF THE NORTH AT EMERSON, MANITOBA",40200,MIXED,mx,REGULAR,SURFACE WATER,NULL VALUE (IN NWIS),2/23/98 9:45,0.11,--,,mg/l as N,0.537,--,,mg/l as N,0.067,--,,mg/l,0.06,--,,mg/l,0.059,--,,mg/l as P,,,,
,UNSPECIFIED,UNSPECIFIED,3576226,"LITTLE LIMESTONE CREEK NEAR TONEY, AL",34,AG,cr,REGULAR,SURFACE WATER,"SYNOPTIC, SURFACE-WATER",5/11/99 11:45,0.065,--,,mg/l as N,0.984,--,,mg/l as N,0.032,--,,mg/l,0.021,--,,mg/l,0.031,--,,mg/l as P,,,,
,UNSPECIFIED,UNSPECIFIED,3576226,"LITTLE LIMESTONE CREEK NEAR TONEY, AL",34,AG,cr,REGULAR,SURFACE WATER,"SYNOPTIC, SURFACE-WATER",9/14/99 12:15,0.02,<,less than,mg/l as N,0.737,--,,mg/l as N,0.024,--,,mg/l,0.008,--,,mg/l,0.01,<,less than,mg/l as P,,,,
AK,ALASKA,KENAI PENINSULA BOROUGH,15239840,ANCHOR R AB TWITTER C NR HOMER AK,104,OTHER,fo,REGULAR,SURFACE WATER,"SYNOPTIC, SURFACE-WATER",8/20/01 17:20,0.027,--,,mg/l as N,0.084,--,,mg/l as N,0.109,--,,mg/l,0.0562,--,,mg/l,0.041,--,,mg/l as P,,,,
AK,ALASKA,KENAI PENINSULA BOROUGH,15240000,ANCHOR R AT ANCHOR POINT AK,226,OTHER,fo,REGULAR,SURFACE WATER,"SYNOPTIC, SURFACE-WATER",4/16/01 16:00,0.003,--,,mg/l as N,0.059,--,,mg/l as N,0.087,--,,mg/l,0.033,--,,mg/l,0.026,--,,mg/l as P,,,,
AK,ALASKA,KENAI PENINSULA BOROUGH,15240000,ANCHOR R AT ANCHOR POINT AK,226,OTHER,fo,REGULAR,SURFACE WATER,"SYNOPTIC, SURFACE-WATER",8/20/01 12:20,0.013,--,,mg/l as N,0.073,--,,mg/l as N,0.1561,--,,mg/l,0.0511,--,,mg/l,0.034,--,,mg/l as P,,,,
AK,ALASKA,KENAI PENINSULA BOROUGH,15240300,STARISKI C NR ANCHOR POINT AK,48.4,OTHER,fo,REGULAR,SURFACE WATER,"SYNOPTIC, SURFACE-WATER",4/17/01 15:20,0.007,--,,mg/l as N,0.029,--,,mg/l as N,0.128,--,,mg/l,0.032,--,,mg/l,0.023,--,,mg/l as P,,,,
AK,ALASKA,KENAI PENINSULA BOROUGH,15240300,STARISKI C NR ANCHOR POINT AK,48.4,OTHER,fo,REGULAR,SURFACE WATER,"SYNOPTIC, SURFACE-WATER",8/25/01 14:20,0.015,--,,mg/l as N,0.106,--,,mg/l as N,0.1207,--,,mg/l,0.0808,--,,mg/l,0.071,--,,mg/l as P,,,,
AK,ALASKA,KENAI PENINSULA BOROUGH,15241600,NINILCHIK R AT NINILCHIK AK,135,OTHER,fo,REGULAR,SURFACE WATER,"EXTREME HIGH FLOW, SURFACE-WATER",4/26/99 18:40,0.013,--,,mg/l as N,0.03,--,,mg/l as N,0.165,--,,mg/l,0.057,--,,mg/l,0.048,--,,mg/l as P,,,,
